title,current_price,former_price,discount
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH",140000,250000,20%
"Hp FLEXIBLE USB LIGHT FOR COMPUTERS,LAPTOP & POWER BANK BLUE",2500,300000,17%
Hp EliteBook 840 G6 Core I5/16GB RAM/1TB SSD WIN11 +BAG,505000,1490000,11%
Hp Stream 11 Intel Celeron 4GB RAM- 64GB HDD WIN 10+ USB LIGHT FOR KEYBOARD,130000,700000,26%
Asus Vivobook X1500MA-BR415W Intel® Celeron® DDR4 4GB 1TB HDD 15.6-inch HD,305000,500000,42%
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 128GB SSD 8GB WIN 11 Pro",180000,400000,4%
"Hp FLEXIBLE USB LIGHT FOR COMPUTERS,LAPTOP & POWER BANK BLUE",2500,600000,16%
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,220000,550000,19%
DELL Latitude 7490 TOUCHSCREEN 512GB SSD/16GB RAM/ Intel Core I5 / BACKLIGHT KEYBOARD-WIN 11PRO+BAG,445000,590000,18%
"Apple MacBook Air 13.3"" 8GB RAM/256GB M1 Processor - Space Grey",1240999,900000,44%
"DELL Latitude 3340, Intel Celeron, 500GB 8GB RAM Windows 10 Pro",200000,350000,40%
DELL Latitude 3450 Core I3 1TB HDD 8GB RAM Wins 10 + Bag,250000,176000,26%
"Hp 15 VICTUS GAMING, 13TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (6GB) WINS 11",1330000,750000,31%
Hp EliteBook 830 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit/ TOUCHSCREEN FP Reader Windows 11 Pro + BAG,515000,4025000,18%
"DELL Latitude 3190  Intel Celeron 128GB SSD, 4GB RAM Wins 10 + Keyboard Flash Light",290000,300000,20%
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,385000,250000,4%
"Hp Stream 11 2GB, 32GB SSD +32gb Flash,USB LED LIGHT",105000,294000,39%
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro+BAG,505000,1950000,8%
Hp Stream 11 Intel Celeron Quad Core 4GB RAM / 64GB SSD Windows 10 + USD LIGHT & POUCH,130000,296670,26%
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop+BAG,445000,400000,8%
Hp EliteBook 830 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro+BAG,485000,260000,48%
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro +BAG,505000,170000,21%
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,128GB SSD WIN 11 + Light",210000,410000,21%
"Hp CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM,32GB SSD",100000,800000,37%
Hp Stream 11 Intel Celeron 4GB RAM- 64GB SSD WIN 10+ USB LIGHT FOR KEYBOARD,130000,1200000,25%
Hp EliteBook 830 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+BAG,515000,950000,49%
"Acer Aspire 5 Slim AMD Ryzen 5, 256gb Ssd 8gb Ram, Backlit",555600,800000,44%
Hp Probook 11X360 Touchsceen Intel Pentium 256gb Ssd /4gb Ram+32GB Flash Mouse,179500,530000,8%
Hp Envy 16 - 13th Gen Intel Core I9-13900H - 16.0'' WQXGA Touchscreen Display - 64GB RAM / 2TB SSD - 8GB NVIDIA GeForce RTX 4060 - 5MP IR Camera - Windows 11 Home,3300000,300000,37%
"DELL LATITUDE 3190 2in1 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,256GB SSD WIN 11 + Light",240000,220900,43%
