title,current_price,former_price,discount
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA GTX 1650 WINS 11",1065000,870600,13%
Hp SPECTRE 14 X360 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD BACKLIT KEYBOARD FP READER WINS 11,2250400,980000,48%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,505000,218770,42%
Multifunctional Foldable  Laptop Table,14990,800000,37%
Hp NoteBook 348 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard- Windows 11 Pro + BAG,450000,1200000,8%
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 256GB SSD 8GB WINDOW 11Pro",230000,19044,28%
"DELL LATITUDE 3180 CHROMEBOOK, 4GB RAM, 16GB SSD + 32GBFLASH",125000,379990,5%
Hp EliteBook 830 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit/ TOUCHSCREEN- FP Reader Wins 11 Pro + BAG,455000,995000,2%
"Hp ProBook 11 X360- 256GB SSD TOUCHSCREEN Intel Pentium Q/C 4GB RAM WIN10 Pro+ USB Light ,BAG",195000,550000,8%
Hp EliteBook 840 G5 Intel Corei5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win11 Pro+pouch Mouse,445000,1190000,13%
"Hp ProBook 450 G10 Intel Core I7 32GB DRAM 1TB SSD 15.6""Touchscreen Backlit Keyboard WIN 11 PRO",1400000,550000,11%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Win11+BAG,505000,9000,72%
Hp ELITEBOOK 840 G7 INTEL CORE I7 16GB RAM 512GB SSD BACKLIT KEYBOARD FP READER WINS 11,720000,1024,50%
Hp NoteBook 348 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- Windows 11 Pro + BAG,510000,950000,55%
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro +MOUSE,485000,290000,28%
Hp EliteBook 840 Intel Core I7- 16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,750000,1350000,7%
"Lenovo IDEAPAD 1 INTEL CELERON 2.4GHZ 4GB RAM 256GB SSD 15.6"" WINS 10 PRO",298550,699990,11%
Ipason MaxBook P1 Pro-AMD R5 3500U Quad-Core 8G RAM 512G SSD 15.6 Inch IPS-Grey,613999,2088000,14%
"Apple MacBook Air 15.3"" M2 Chip 8GB/ 256GB 8 Core CPU/10 Core GPU - Space Grey",1999999,590000,18%
"Hp 15 Intel Pentium Gold 4GB RAM, 500GB HDD Windows 10 + FREE 16GB Flash Drive",320000,230000,47%
Hp Stream 11 Intel Celeron D/C 4GB RAM- 64GB SSD WIN 10+ BAG,150000,820000,38%
"Hp Pavilion 15 X360 11th Gen Intel Core™ I5,16GB RAM 1TB SSD, Backlit Keyboard, Wins 10",1000000,665000,10%
"Lenovo Ideapad 330-151KB Intel Core I3,1tb/4gb,,""15 Win 10",360000,300000,57%
"DELL Alienware M18 R1, RTX 4090,4TB SSD/64GB RAM I9 13TH GEN",5880000,210000,7%
Hppower Travel Laptop And School Backpack Bag - Black,12950,300000,57%
Hp Stream 11 Intel Celeron Quad Core 4GB RAM / 64GB SSD Windows 10 + USD LIGHT,130000,1020000,13%
"Lenovo LEGION 7 PRO Gen 8, I9,13thGEN, 1TB/16GB, 4070",2966500,2005000,10%
"Lenovo IDEAPAD 15 INTEL CELERON 4GB RAM 256GB SSD 15.6"" HD WINS 10",298500,300000,3%
"DELL Latitude 3380 Intel Core I3 8GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light",490000,475000,5%
Msi Crosshair 16 A13VGK RTX 4070 1TB/16GB I7 13TH GEN,1850000,1460000,9%
"Hp Notebook 14 Intel Celeron 8GB RAM, 256 SSD, Windows 10 Home",295000,200000,5%
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro,192500,280000,25%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop+BAG,485000,1698000,22%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10+ 32 FLASH DRIVE,120000,300000,18%
Hp Probook 11X360 Touchsceen Intel Pentium 256gb Ssd /4gb Ram,195000,689000,11%
Lenovo THINKPAD T490 Intel Core I5 8GB RAM 512GB SSD KEYBOARDLIGHT WIN11PRO+BAG,999999,415000,54%
Hp ProBook X360- Intel Pentium- 128GB SSD- 4GB RAM WIN10 Pro,190000,998500,7%
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,185500,395000,24%
Hp EliteBook 830 G6 TOUCHSCREEN/Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/Win 11 Pro+BAG,555000,760000,36%
"DELL Latitude 3190  Intel Pentium 4GB RAM, 128ssd Windows 10 + USB Flash Light",290000,150300,42%
Hp ProBook 11 X360 TOUCH INTEL CORE I5 512GB SSD- 8GB RAM Windows 11+ 32GB FLASH & POUCH BAG,380000,1690000,22%
Hp 15 TOUCHSCREEN 12TH GEN INTEL CORE I7 16GB RAM 512GB SSD INTEL IRIS XE WINS 11,965000,3671,33%
Hp NoteBook 348 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard- Windows 11 Pro + BAG,450000,300000,20%
Hp ProBook 11 X360- TOUCH- 256GB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG,350000,1600,9%
Hp Envy 14 X360 13th Gen Intel Core I5 8GB RAM/512GB SSD Win 11,940000,660000,14%
Hp EliteBook 830 G6 Intel Core I5 TOUCHSCREEN-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win 11+ BAG,465000,400000,45%
"Hp FLEXIBLE USB LIGHT FOR COMPUTERS,LAPTOP & POWER BANK BLUE",2500,150000,21%
Hp Probook 11 G7 X360 Touchscreen Intel Pentium 8GB DDR4 RAM 256GB SSD WIN 10 + Keyboard Flashlight,240000,170000,12%
"Lenovo Ideapad 5 11th Gen Intel Core I7 8GB RAM 512GB SSD Backlit Keyboard FP Reader 14"" Wins 11",820000,1090000,10%
Hp Stream 11 Intel Celeron 4GB RAM- 64GB HDD WIN 10+ USB LIGHT FOR KEYBOARD,130000,230000,24%
Hp EliteBook 830 G5 Intel Corei5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win11 Pro+pouch Mouse,450000,480000,73%
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,445000,435000,8%
Hp EliteBook 840 G6 Intel Core I5 16GB RAM/512GB SSD  Touchscreen /Backlit Keyboard/FP Reader Wins 11 Pro + Mouse,500900,700000,32%
"Hp Pavilion 14 X360 11th Gen Intel Core™ I7,1TB SSD, 16GB RAM, Backlit Keyboard,14""Touchscreen Wins 11",1300000,577000,12%
"Hp FLEXIBLE USB LIGHT FOR COMPUTERS,LAPTOP & POWER BANK WHITE",2500,800000,37%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit,505000,250000,24%
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I7-1165G7 Quad-Core-16GB RAM-512GB SSD-Black",958000,450000,1%
Hp EliteBook X360 830 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+ BAG,550000,800000,6%
Case For HP Laptop 17s-cu 17-cn 17t-cn 17-cp 17z-cp Envy 17-cr 17t-cr 17-ch 17.3 Inch Laptop Notebook Sleeve Detachable Cover,104375,690000,22%
"Hp FLEXIBLE USB LIGHT FOR COMPUTERS,LAPTOP & POWER BANK BLUE",4000,790000,9%
Hp EliteBook X360 830 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+ BAG,560000,1700000,24%
Ugreen USB C to Ethernet Adapter RJ-45 Gigabit LAN Network Adapter,6769,650000,25%
"Apple MacBook Pro 14"" Laptop - M3 Pro Chip - 18GB -512 SSD",3100000,300000,57%
Hp ProBook 11 X360- TOUCH Intel Celeron 128GB 4GB RAM WIN10 Pro +pouch,180000,4999999,62%
"DELL Alienware M16 R1 Gaming, 1TB/32GB I9 RTX 4070, 13th Gen",3444000,398000,13%
Asus Notebook Intel Celeron 4GB RAM 128GB 14.0' Wins 11,320500,60120,41%
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,130000,900000,44%
"Hp Pavilion 14 X360 11th Gen Intel Core™ I7,512 SSD, 16GB RAM, Backlit Keyboard,14""Touchscreen Wins 11",1252000,695000,2%
Hp ProBook 11 X360- TOUCHSCREEN Intel Pentium 512GB SSD- 4GB RAM Windows10 Pro +32GB FLASH,250000,33000,88%
"Lenovo Ideapad Intel Celeron 4GB RAM 1TB HDD 15.6"" Windows 10 + FREE 32GB Flash And Mouse",700000,370000,41%
Hp ELITEBOOK 840 G8 11TH GEN CORE I7 16GB RAM/512 SSD BACKLIT KEYBOARD FP WINS 11 PRO+ Headset,1344000,1600,9%
"Lenovo V14 AMD RYZEN 3 3250U 8GB RAM 1TB HDD AMD RADEON GRAPHICS 14.0""SCREEN WINS 11",357400,682000,27%
"Lenovo LEGION PRO 7, 2TB/32GB, RTX 4090, Core I9-13900HX",4290000,695000,78%
"DELL LATITUDE 3190 2in1 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,256GB SSD WIN 11 + Light",220000,650000,13%
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro+32GB FLASH & USB LIGHT FOR KEYBOARD,385000,855000,3%
Hp NoteBook 348 G5 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard- Windows 11 Pro+ BAG,750000,1756,17%
"Apple MacBook Pro 16"" Laptop - M3 Pro Chip - 18GB  18-core GPU - 512GB SSD - Space Black",3250000,990000,29%
"Hp PROBOOK 11 X360 PENTIUM 4GB RAM 128GB SSD 11.6"" TOUCHSCREEN WINS 11",174000,680000,38%
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB SSD 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,385000,800000,37%
Hp EliteBook 840 G5 Intel Core I5-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,555000,1490000,9%
Hp NoteBook 348 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- Windows 11 Pro + BAG,700000,200900,38%
Samsung PM881 256G 2.5-inch SATA3/6GB Laptop Desktop SSD,76403,850000,13%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10+ BAG,150000,660000,33%
Folded Cooler Laptop Stand 360 Degree Rotating Base Portable,55810,590000,13%
Hp ProBook 11 X360- 512GB SSD  TOUCHSCREEN Intel PENTIUM 8GB RAM WIN10 Pro,270000,1600,9%
Hp ELITEBOOK 1040 G9 12TH GEN CI5 256GB 16GB ACTIVE PEN BACKLIT,994800,550000,19%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512 SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop + BAG,485000,760000,34%
Hp ProBook 11 X360- TOUCH Intel Celeron 512GB 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,205000,290000,55%
13 Inch Laptop Sleeve Case With Handle Pocket Briefcase Waterproof HandBag,20910,990000,11%
"Hp Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15.6-Inch Windows 10 Black Colour",560000,600000,37%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,485000,900000,52%
Adjustable Folding Laptop Stand With Cooling Fan,29999,760000,18%
Hp ProBook 11 G1 X360 Convertible Intel Pentium Laptop 4GB RAM 256G Touchscreen With Laptop Pouch,195000,900000,46%
Hp EliteBook 830 G6 Intel Core I5-16GB RAM/512GB SSD- Touchscreen/Backlit /FP Reader Win 11 Pro+BAG,465000,790000,6%
"Hp Envy 15 X360 Touchscreen-12th Gen Intel Core I7, 16GB RAM,1TB SSD, Backlit Keyboard, Wins 11",1320000,490000,3%
Hp EliteBook 840 G6 Intel Core I5 16GB RAM/512GB SSD Touchscreen /Backlit Keyboard Wins 11 Pro,500800,355000,7%
Lenovo THINKPAD T490 Intel Core I5 8GB RAM 512GB SSD KEYBOARDLIGHT WIN11PRO+BAG,999999,310000,52%
Hp NoteBook 348 G5 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard- Windows 11 Pro + BAG,430000,800000,38%
Hp ELITEBOOK 1040 G9 CI7 12TH GEN 512GBSSD 16GB RAM W11 BACKLIT,1297800,350000,40%
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,150000,677000,48%
Hp EliteBook 840 Intel Core I7- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,699999,570000,24%
Hp ProBook 11 X360- TOUCHSCREEN Intel Pentium 128GB SSD- 4GB RAM WINDOWS10 Pro,199900,998000,3%
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM/512GB SSD Win 11,485000,1075000,10%
Lenovo V15-IGL Intel Celeron 256GB SSD 4GB RAM Win 10+ MOUSE,335000,500000,42%
Hp EliteBook WIN11 840 G5 Intel Core I5/8GB RAM/256GB SSD+BAG,445000,165000,9%
"Hp FLEXIBLE USB LIGHT FOR COMPUTERS,LAPTOP & POWER BANK BLUE",2500,300000,20%
DELL Latitude 3450 Intel Core I3 256GB SSD 8GB RAM Wins 10 + Bag,220000,395000,16%
Hp Stream 11 Intel Celeron 4GB RAM- 32GB HDD WIN 10+ 32GB FLASH,124000,900000,52%
Hp ProBook11 X360-Intel Celeron 256GB 4GBRAM Windows10+MOUSE,195000,900000,46%
"Hp 15 Touchscreen Intel Core I3 15.6"" 16GB RAM/256GB SSD Win 11",605000,653000,26%
Asus Vivobook 15 X1504ZA Intel Core I5-1235U 15.6-inch FHD 8GB RAM 512GB SSD Windows 11,799990,400000,4%
Asus ZENBOOK 14 FLIP CORE I7- 512GB SSD/16GB RAM/Backlit Key/FP READER-TOUCH Windows 11 PRO- 11th GEN,2880000,400000,4%
Hp Envy 15 X360 2-in-1 Convertible - 13th Gen Intel Evo Core I7-1355U - 15.6'' Full HD Touchscreen - 16GB RAM / 1TB SSD - Intel Iris Xe Graphics - 5MP IR Camera - HP Rechargeable MPP 2.0 Tilt Pen - Windows 11 Home - Color: Silver,1400000,75150,42%
"Msi Stealth 17 Studio, RTX 4090, 13th Gen I9,64GB/2TB SSD",4955500,1590000,20%
Lenovo Thinkpad  M40 Refurbished  4GB RAM 320GB Win7,143500,17000,1%
Stylus Pen Universal Flexible Portable Capacitive-Black,1476,2999990,15%
"DELL Latitude 3190 Intel Celeron 4GB RAM, 128ssd Windows 10 + Keyboard Flash Light",290000,30380,30%
"Hp Pavilion 15 X360 11th Gen Intel Core™ I3,512 SSD, 16GB RAM Touchscreen, Wins 10 + Free Mouse",690000,2390,50%
Hp Stream 11 Intel Celeron 4GB RAM- 64GB HDD WIN 10+ USB LIGHT FOR KEYBOARD,130000,200000,13%
"Hp VICTUS GAMING 16 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD RTX 4060 (8GB) 16.1""FHD BACKLIT KEY WIN 11",1750000,17658,28%
"Hp Stream 14-Intel Celeron N3060 1.6GHz 4GB RAM, 32GB  SSD Windows 10 Home + Mouse, 32gb Flash",165000,600000,17%
Hp ENVY 14 X360 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD BACKLIT KEYBOARD FP READER WINDOWS 11,1270000,760000,34%
Hp Elitebook X2 1012 G2 Intel Core I5 256GB SSD-8GB RAM-Backlit -Touch + PEN Windows 10 PRO +HAND FAN,430000,539500,19%
"DELL 12.3"" Latitude 7285 Detachable PC Intel Core I5 512GB SSD 8G RAM Win 10 Pro",925000,399900,24%
"Hp ProBook 11 X360- 256GB SSD TOUCHSCREEN Intel Pentium Q/C 4GB RAM WIN10 Pro+ USB Light ,BAG",190000,699990,15%
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 3050 WINS 11",1330000,490000,11%
Asus ROG Strix SCAR 15 Gaming G533ZM 12th Gen Intel Core I9 32GB RAM/1TB SSD 6GB NVIDIA RTX Win 11,3550000,1085000,5%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/256GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,465000,740000,16%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop+BAG,485000,200000,33%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,300000,33%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD Win 10 + BAG,130000,500000,1%
"DELL Inspiron 3520 12th Gen Core I7 512GB SSD 16GB RAM 15.6"" (FHD) TOUCH WIN11 Home",1030000,4000,79%
Hp ProBook 11 X360- TOUCH- 128GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,220000,250000,4%
Lenovo Ideapad Intel Core I3 8GB RAM DDR4-1TB HDD WINDOWS 10+Mouse,435500,3110,17%
"DELL Latitude 5480 Intel Core I5- 8GB RAM, 256GB SSD Windows  11",400000,300000,3%
Lenovo 65W USB TYPE -C  Laptop Charger,19999,178000,16%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro+BAG,505000,680000,20%
Hp NoteBook 348 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- Windows 11 Pro + BAG,475000,550000,19%
"Lenovo LEGION 5 GAMING 12TH GEN INTEL CORE I7 16GB RAM 1TB SSD RTX 3050 (4GB) 15.6"" RGB BACKLIT WIN 11",2308000,300000,27%
"Hp 15 Intel Pentium Quad Core (500GB HDD,8GB RAM+32gb Flash) Windows 10 Laptop",325500,950000,49%
Hp DELL LATITUDE 3189 2 In1 X360 INTEL PENTIUM/TOUCHSCREEN 4GB RAM/256GB SSD Windows11 Pro+ USB Light,215000,760000,18%
"DELL Latitude 3190 2in1  X360 INTEL PENTIUM, Touchscreen 128GB SSD 8GB WIN 11+LIGHT",215000,515000,9%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10+ MOUSE,125000,800000,36%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+ BAG,505000,590500,4%
"DELL Latitude 5480 Intel Core I5- 8GB RAM, 256GB SSD Windows  11",400000,300000,13%
"Lenovo LEGION 5 GAMING 12TH GEN INTEL CORE I7 16GB RAM 1TB SSD RTX 3050 (4GB) 15.6"" RGB BACKLIT WIN 11",2308000,170000,12%
Hp EliteBook 840 G5 Intel Core I5- 8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,445000,345000,7%
Hp Stream 11 Intel Celeron - 64GB SSD 4GB RAM Windows 10 P,129999,950000,55%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,650000,13%
Hp Notebook 11 - TOUCH- 128GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,220000,587750,20%
Hp CHROMEBOOK 11 INTEL CELERON 4GB RAM 16GB WINS 10,120000,300000,20%
"Lenovo Thinkpad E570 Energy Star PC - Intel Core I3-6006U - 4GB RAM, 500GB HDD - Win 10 Pro",638000,192000,22%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,580000,16%
Hp ENVY 14 X360 13TH GEN INTEL CORE I5 8GB RAM 512GB SSD TOUCH/BACKLIT KEYBOARD FP READER WINS 11,940000,520000,26%
Hp EliteBook 840 G5 Intel Core I5- 12GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 10 Pro + BAG,455000,760000,43%
"DELL LATITUDE 3190 INTEL CELERON, 4GB RAM,256GB SSD WIN 11 + Light",165000,1065000,9%
Firman POWER BANK 15000MAH WITH INBUILT CHARGING CABLES,25011,170000,12%
13 Inch Slim Classic Laptop Sleeve Case Computer Notebook Bag-Blue,16660,690000,27%
Stylus Touch Screen Pen For IPhone 5/4S/4G/3GS IPad-Black,492,475500,8%
Hp ProBook 11 X360- TOUCH- 128GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,220000,560000,19%
"DELL LATITUDE 3380, INTEL CORE I3 ,8GB RAM,256GB SSD ,WIN 11+ LIGHT",499000,680000,12%
Acer TRAVELMATE B3 TMB311 CELERON N4020 4GB RAM 64GB HDD,226850,900000,44%
Replacement Universal Touch Screen Writing Stylus Pen-Black,722,900000,46%
"Apple MacBook Pro 16"" Laptop - M3 Pro Chip - 18GB -1TB SSD",3800000,4280,50%
FOLDABLE LAPTOP DESK,15500,600000,16%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,485000,350000,14%
Ugreen USB C to Ethernet Adapter Gigabit Ethernet to Wired Network,9829,60120,41%
Hp EliteBook 840 G5 Intel Core I5-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,545000,4000,79%
Hp ELITEBOOK 830 G7 TOUCHSCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYS FINGERPRINT WINS 11PRO+ Bag,700000,245000,1%
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,369999,600000,25%
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro+BAG,515000,1030000,8%
"DELL LATITUDE 3189,X360 INTEL PENTIUM,4GB RAM,128GB SSD TOUCH +MOUSE WIN 11",245000,180900,17%
Hp EliteBook 840 G5 Intel Core I5-12GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,475000,590000,5%
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" 6GB Nvidia RTX 4050 WINS 11",1800000,200000,10%
Multifunctional Foldable  Laptop Table,25500,39202,8%
Hp DRAGONFLY G4 13THGEN CI7 32GBRAM 1TBSSD TOUCH W11pro BACKLIT,1838860,1195000,21%
Ladies PU Leather Laptop Bag Handbag 13/14/15.6/16 Inch For Macbook Air Tablet HuaWei MateBook Lenovo Thinkpad,53106,1399000,5%
"Hp Pavilion 15 Intel Pentium Quad Core 2.1Ghz (4GB RAM, 500GB HDD) 15.6-Inch Windows 10 Laptop +32GB Flash Drive - Red",370000,800000,56%
"DELL LATITUDE 3190 2in1 INTEL PENTIUM ,8GB RAM,256GB SSD+ LIGHT WIN 11",220000,550000,31%
Desktop Keyboard Protection Skin Protector Cover For HP,2765,685000,4%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10+ BAG,130000,938000,7%
Hp Stream 11 PRO Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 11 PRO+ USB Light For Keyboard,190000,350000,14%
Biometric Fingerprint Scanner,64500,660500,14%
"Hp Pavilion 15 Intel Pentium Dual Core 2.1Ghz (4GB RAM, 1TB HDD) 15.6-Inch Windows 10 Laptop + 32GB Flash - Red",395000,1289990,26%
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,110000,33000,92%
Lenovo IdeaPad 3 Gaming Laptop Ryzen 7-8GB RAM 512GB SSD + 1TB HDD  NVIDIA GeForce GTX 1650 Ti Win 10,1285000,589000,27%
"DELL VOSTRO 15 11TH GEN INTEL CORE I7 16GB RAM 512GB SSD INTEL IRIS XE 15"" FHD WINS 10",880000,300000,3%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win11 Pro Lapto +BAG,505000,1700,6%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,485000,199000,25%
DELL Chromebook 14 - Intel Celeron - 4GB RAM - 32GB SSD + Flash,150000,170000,24%
Hp Stream 14 Intel Celeron 4GB RAM 32GB SSD Wins 10+32gb Flash,165000,4560000,7%
"Asus Notebook 10th Gen, Intel Core I3 8GB RAM 512GB SSD, 2.1GHz Up To 4.1GHz 15.6"" Wins 11+ Headset",475500,550000,11%
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,150000,160400,6%
Hp ProBook 11 X360- TOUCH Intel Celeron 128GB 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,180000,595000,23%
Hp EliteBook 840 Intel Core I7- 16GB RAM/ 512 SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,620000,88510,42%
Hp Elitebook X2 1012 G2 Intel Core I5 256GB SSD - 8GB RAM -Backlit-Keypad - Touch Windows 11 PRO + PEN,430000,29100,50%
Hp ProBook 11 X360- Intel CELERON 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,230000,400000,4%
Super Scanner UareU 4500 Biometric Fingerprint Scanner,89000,900000,52%
"DELL LATITUDE 9520 X360  16GB RAM 256GB SSD 11TH GEN CORE I5  15.6"" TOUCH/BACKLIT KEYS WINS 11+ BAG",757500,705000,33%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+ BAG,505000,33000,88%
"Business Leather Men Briefcase For Husband Shoulder Bag Man 14"" 15"" Laptop Briefcases Bags Large Capacity Men's Handbag",127588,400800,8%
Hp ProBook 11 X360 TOUCH INTEL CORE I5 512GB SSD- 8GB RAM,325000,580000,22%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,395000,67%
Hp Stream 11 Pro Intel Celeron 4GB RAM- 64GB Windows 10 + Flash,120000,60900,41%
"Hp Pavilion X360 2-in-1 14-ek0059nia, Core I7-1255U, 16GB RAM, 512GB SSD, Touch, Backlit Keyboard",1100000,990000,24%
PU Leather Smart Tablet Full Protective Cover Suitable For Ipad Mini 1/2/3-rose Gold,13660,600000,21%
Asus Vivobook X1500MA Intel Celeron 4GB RAM 1TB HDD 15.6-inch Win 11 Backlit Keyboard,359995,205410,42%
Hp Pavilion 15 11th Gen Core I5 1TB SSD/8GB Nvidia Graphics Mx350 Win 11,970500,995500,5%
DELL XPS 13 9340 14TH GEN CORE ULTRA 7 32GB RAM 1TBSSD TOUCH FP,3124000,600000,19%
Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG,370000,148630,41%
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH",180000,925000,4%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000,780000,35%
